"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"mean",Age_0_5,0.231212198547216,0.0577035532687651,0.00324361380145278,0.0227637796610169,5.88281840193705e-06,2.14588377723971e-05,0.0560516537530266,0.00364220702179177,0.0597153099273608,4.3616004842615e-06,0.000397648910411622,0,0.607072675544794,5.25496368038741e-05,0.0560464769975787
"sd",Age_0_5,1.08892102652588,0.262174983677705,0.0183786446968841,0.126767138057597,2.96480276946092e-05,9.58801341352791e-05,0.254669612939396,0.0202827537200898,0.270860957489179,2.11581069571427e-05,0.001871571256971,0,3.12079958474987,0.000336642805871925,0.254648112242867
"0.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_6_11,1.708556,0.428297,0.01594,0.134105,2.1342e-05,0.000174,0.416036,0.021457,0.486861,1.4604e-05,0.003196,0,4.975858,0.000279,0.416018
"97.5%",Age_6_11,3.784779,0.811096,0.047325,0.363901,4.3461e-05,0.000359,0.787877,0.058224,0.918448,3.0597e-05,0.006345,0,9.675724,0.000601,0.787866
"99%",Age_6_11,6.948977,1.845975,0.090564,0.993517,9.2919e-05,0.000655,1.79313,0.158963,2.039729,7.9844e-05,0.011322,0,16.432627,0.00111,1.79305
"99.5%",Age_6_11,7.651449,2.077333,0.180618,1.128342,0.000137708,0.00082,2.017864,0.180535,2.169778,8.9211e-05,0.013953,0,17.415368,0.001468,2.017791
"mean",Age_6_11,0.271627840531561,0.0680509778516058,0.00383841196013289,0.0311201683277962,3.59478626799557e-06,2.62990033222591e-05,0.066102853820598,0.00497922480620155,0.0711083798449612,2.5823853820598e-06,0.000476359911406423,0,0.726090323366556,4.85968992248062e-05,0.066097503875969
"sd",Age_6_11,1.25710114460379,0.317654995392105,0.021061056505432,0.160791932617697,1.78088665925814e-05,0.000119507921552763,0.308561384855272,0.0257267158700499,0.329842038933287,1.27872244035467e-05,0.00222209032350102,0,3.31098897986576,0.000250898340008856,0.308539150885124
"0.5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_12_19,0.009489,0.002602,4.2e-05,0.000287,5.1e-08,1e-06,0.002527,4.6e-05,0.002638,4.2e-08,0,0,0,2e-05,0.002468
"30%",Age_12_19,0.049698,0.011485,0.000135,0.000978,2.15e-07,4e-06,0.011156,0.000157,0.01165,1.89e-07,0,0,0,3.6e-05,0.011143
"40%",Age_12_19,0.42647,0.098828,0.002452,0.023342,2.459e-06,3.4e-05,0.095999,0.003735,0.108701,1.743e-06,0.000589,0,1.072289,7.6e-05,0.095896
"50%",Age_12_19,0.833055,0.20118,0.007152,0.072262,5.292e-06,7.6e-05,0.195421,0.011562,0.220655,3.831e-06,0.001441,0,2.511588,0.000129,0.195407
"60%",Age_12_19,1.331978,0.319314,0.013483,0.148256,9.194e-06,0.000122,0.310173,0.023721,0.351721,6.175e-06,0.002249,0,3.846293,0.000203,0.309845
"70%",Age_12_19,2.114419,0.535559,0.025025,0.269424,1.4806e-05,0.000202,0.520227,0.043108,0.582118,1.002e-05,0.003635,0,5.635594,0.000316,0.520119
"75%",Age_12_19,2.55893,0.66716,0.03388,0.357182,1.8156e-05,0.00025,0.648061,0.057149,0.71846,1.2372e-05,0.004568,0,7.061861,0.000379,0.648027
"80%",Age_12_19,3.192628,0.812836,0.047046,0.501032,2.3562e-05,0.000316,0.789567,0.080165,0.888656,1.5023e-05,0.005626,0,8.397255,0.000504,0.789535
"85%",Age_12_19,3.974383,0.992396,0.063436,0.674698,2.9998e-05,0.000392,0.963986,0.107952,1.129345,1.9031e-05,0.007152,0,10.659682,0.000666,0.963922
"90%",Age_12_19,5.499985,1.321085,0.083356,0.974045,4.1315e-05,0.000536,1.283266,0.155847,1.463416,2.6349e-05,0.009268,0,13.98108,0.000939,1.283251
"95%",Age_12_19,8.6168,2.121654,0.130364,1.542865,6.2915e-05,0.000862,2.060917,0.246858,2.309851,4.1479e-05,0.015493,0,21.797608,0.001514,2.060881
"97.5%",Age_12_19,11.604455,3.06994,0.205432,2.292069,8.7579e-05,0.001168,2.982056,0.366731,3.20448,5.6355e-05,0.020584,0,28.349451,0.002339,2.982036
"99%",Age_12_19,19.634343,4.891194,0.331612,3.598846,0.000111954,0.001906,4.751173,0.575815,5.008769,8.9204e-05,0.036395,0,50.500431,0.004138,4.750463
"99.5%",Age_12_19,26.272842,6.559456,0.384483,4.753421,0.000204566,0.002492,6.371676,0.760547,7.103318,0.000107927,0.048249,0,60.221098,0.005327,6.371559
"mean",Age_12_19,2.16737966101695,0.556097291703836,0.0324792890276539,0.360827622658341,1.59433523639607e-05,0.000216075825156111,0.540177734165923,0.0577324281891169,0.598126239964318,1.04654603033006e-05,0.00382473416592328,0,5.54152903122212,0.00038364049955397,0.540134703835861
"sd",Age_12_19,4.38225363540526,1.21428265361122,0.0878791330440787,0.905924307830867,3.40063774882718e-05,0.000483852418610688,1.17952106741108,0.144947886421658,1.28085591171608,2.21686120027217e-05,0.00801123085774308,0,10.4701932922982,0.000804793289854007,1.17948626405159
"0.5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_20_65,5e-05,1.4e-05,0,0,0,0,1.3e-05,0,1.5e-05,0,0,0,0,0,1.3e-05
"15%",Age_20_65,0.013893,0.003465,4.4e-05,0.000295,5.7e-08,1e-06,0.003366,4.7e-05,0.00349,4.8e-08,0,0,0,1.7e-05,0.003362
"20%",Age_20_65,0.052059,0.01295,0.000153,0.001128,2.08e-07,5e-06,0.01258,0.00018,0.012843,1.76e-07,0,0,0,3.2e-05,0.012571
"25%",Age_20_65,0.167061,0.041958,0.000593,0.004145,7.55e-07,1.5e-05,0.040756,0.000663,0.042915,6.15e-07,0,0,0,4.9e-05,0.040736
"30%",Age_20_65,0.379549,0.09211,0.002318,0.022265,1.827e-06,3.3e-05,0.089473,0.003562,0.098898,1.386e-06,0.000595,0,1.121328,6.3e-05,0.089472
"40%",Age_20_65,0.730141,0.176337,0.00618,0.067675,3.879e-06,6.5e-05,0.171289,0.010828,0.190803,2.667e-06,0.001255,0,2.201133,0.000105,0.17127
